participantID,speed,trial,side_foot_strike1,time_foot_strike1,side_foot_strike2,time_foot_strike2,side_foot_off1,time_foot_off1,side_foot_off2,time_foot_off2,side_foot_strike3,time_foot_strike3,side_foot_strike4,time_foot_strike4,side_foot_off3,time_foot_off3
2014007,3,1,r,0.049999885,r,1.249999881,l,0.24999994,l,1.439999938,l,0.650000036,l,1.840000033,r,0.830000103
2014007,3,2,l,0.050000038,l,1.189999938,r,0.219999999,r,1.370000005,r,0.629999936,r,1.740000129,l,0.800000012
2014007,3,3,r,0.050000053,r,1.269999981,l,0.220000014,l,1.460000038,l,0.640000105,l,1.860000134,r,0.839999914
2014007,3,4,r,0.049999971,r,1.25999999,l,0.220000044,l,1.430000067,l,0.639999866,l,1.829999924,r,0.829999924
2014007,4,1,r,0.049999986,r,1.249999881,l,0.23999992,l,1.449999928,l,0.650000036,l,1.860000014,r,0.850000083
2014007,4,2,r,0.050000004,r,1.299999833,l,0.229999959,l,1.48999989,l,0.680000007,l,1.919999957,r,0.880000055
2014007,4,3,r,0.049999967,r,1.2299999,l,0.209999934,l,1.429999948,l,0.639999986,l,1.820000052,r,0.830000043
2014007,4,4,r,0.049999949,r,1.23999989,l,0.210000038,l,1.409999967,l,0.639999986,l,1.820000052,r,0.820000052
2014007,4,5,l,0.050000042,l,1.200000048,r,0.210000008,r,1.390000105,r,0.630000114,r,1.819999933,l,0.789999962
2014007,5,1,r,0.050000038,r,1.050000072,l,0.170000046,l,1.189999938,l,0.550000012,l,1.550000072,r,0.689999878
2014007,5,2,l,0.050000057,l,1.0200001,r,0.169999942,r,1.169999957,r,0.539999962,r,1.51000011,l,0.679999948
2014007,5,3,l,0.049999971,l,1.029999971,r,0.179999962,r,1.200000048,r,0.549999952,r,1.529999971,l,0.690000057
2014007,5,4,l,0.049999978,l,1.030000091,r,0.160000056,r,1.169999957,r,0.550000012,r,1.51000011,l,0.680000007
2014008,1,1,r,0.049999867,r,3.349999666,l,0.940000236,l,4.13999939,l,1.799999833,l,4.68999958,r,2.470000029
2014008,1,2,l,0.050000057,l,2.939999819,r,0.660000205,r,3.569999933,r,1.419999957,r,4.410000324,l,2.029999971
2014008,1,3,r,0.049999982,r,3.000000238,l,0.680000067,l,3.7900002,l,1.660000086,l,4.700000286,r,2.269999743
2014008,1,4,r,0.049999848,r,3.0400002,l,0.690000176,l,3.680000067,l,1.429999948,l,4.559999943,r,2.370000124
2014008,1,5,r,0.050000209,r,2.910000324,l,0.800000191,l,3.799999714,l,1.650000095,l,4.440000057,r,2.28000021
2014008,2,1,r,0.049999963,r,1.74000001,l,0.299999952,l,2.069999933,l,0.879999876,l,2.640000105,r,1.180000067
2014008,2,2,r,0.050000042,r,1.630000114,l,0.379999965,l,1.960000038,l,0.829999924,l,2.460000038,r,1.160000086
2014008,2,3,r,0.049999934,r,1.710000038,l,0.299999923,l,2.010000229,l,0.870000124,l,2.570000172,r,1.140000105
2014008,2,4,r,0.050000027,r,1.730000138,l,0.280000061,l,1.98999989,l,0.849999964,l,2.529999733,r,1.129999995
2014008,2,5,r,0.049999967,r,1.669999957,l,0.299999952,l,1.949999928,l,0.860000014,l,2.5400002,r,1.120000005
2014008,3,1,r,0.049999949,r,1.320000052,l,0.2299999,l,1.540000081,l,0.659999967,l,1.9799999,r,0.860000014
2014008,3,2,r,0.050000034,r,1.309999943,l,0.200000003,l,1.5,l,0.670000017,l,1.930000067,r,0.840000093
2014008,3,3,r,0.050000086,r,1.280000091,l,0.229999915,l,1.509999871,l,0.659999967,l,1.960000157,r,0.850000024
2014008,3,4,r,0.049999952,r,1.269999981,l,0.220000029,l,1.480000019,l,0.659999967,l,1.910000086,r,0.829999924
2014008,3,5,r,0.050000034,r,1.309999943,l,0.229999974,l,1.519999981,l,0.680000007,l,1.980000019,r,0.860000074
2014008,4,1,l,0.049999956,l,1.060000062,r,0.149999976,r,1.199999928,r,0.559999943,r,1.600000024,l,0.689999938
2014008,4,2,l,0.050000049,l,1.120000005,r,0.170000046,r,1.2700001,r,0.600000024,r,1.659999967,l,0.740000129
2014008,4,3,l,0.050000004,l,1.070000052,r,0.180000007,r,1.219999909,r,0.560000002,r,1.600000024,l,0.709999979
2014008,4,4,l,0.050000016,l,1.070000172,r,0.170000017,r,1.230000019,r,0.579999983,r,1.610000134,l,0.719999969
2014008,4,5,l,0.049999982,l,1.069999933,r,0.179999977,r,1.220000029,r,0.569999933,r,1.589999914,l,0.720000029
2014008,5,1,l,0.049999975,l,1.019999862,r,0.130000025,r,1.149999976,r,0.570000052,r,1.519999862,l,0.659999967
2014008,5,2,r,0.049999982,r,0.99000001,l,0.140000015,l,1.099999905,l,0.519999981,l,1.480000019,r,0.629999876
2014008,5,3,r,0.049999982,r,1.039999962,l,0.139999896,l,1.170000076,l,0.539999962,l,1.529999971,r,0.670000076
2014008,5,4,r,0.050000034,r,1.029999971,l,0.170000032,l,1.160000086,l,0.569999874,l,1.529999971,r,0.670000017
2014009,1,1,l,0.050000049,l,2.929999828,r,0.909999967,r,3.690000057,r,1.509999871,r,4.409999847,l,2.369999886
2014009,1,2,l,0.050000116,l,2.990000248,r,0.789999902,r,3.730000019,r,1.539999843,r,4.430000305,l,2.360000134
2014009,1,3,l,0.050000153,l,3.050000191,r,0.900000036,r,3.81000042,r,1.610000134,r,4.480000496,l,2.409999847
2014009,1,4,r,0.04999977,r,2.900000095,l,0.880000174,l,3.71999979,l,1.489999771,l,4.379999638,r,2.269999981
2014009,1,5,l,0.049999915,l,2.829999924,r,0.760000169,r,3.670000076,r,1.429999828,r,4.320000172,l,2.220000267
2014009,2,1,l,0.050000094,l,1.740000129,r,0.409999996,r,2.050000191,r,0.899999976,r,2.619999886,l,1.23999989
2014009,2,2,l,0.050000038,l,1.76000011,r,0.379999965,r,2.120000124,r,0.919999897,r,2.660000086,l,1.280000091
2014009,2,3,l,0.050000094,l,1.7299999,r,0.380000025,r,2.099999905,r,0.909999967,r,2.630000114,l,1.249999881
2014009,2,4,l,0.050000027,l,1.699999928,r,0.379999965,r,2.049999714,r,0.879999936,r,2.579999924,l,1.199999928
2014009,3,1,r,0.049999963,r,1.440000057,l,0.240000024,l,1.670000076,l,0.710000038,l,2.140000105,r,0.910000086
2014009,3,2,r,0.050000057,r,1.399999976,l,0.2700001,l,1.610000014,l,0.719999909,l,2.059999943,r,0.929999948
2014009,3,3,r,0.049999971,r,1.410000086,l,0.240000024,l,1.609999895,l,0.720000029,l,2.079999924,r,0.940000057
2014009,3,4,r,0.050000004,r,1.379999995,l,0.229999959,l,1.620000005,l,0.709999979,l,2.080000162,r,0.939999998
2014009,3,5,r,0.050000016,r,1.390000105,l,0.24999994,l,1.620000124,l,0.729999959,l,2.120000124,r,0.939999998
2014009,4,1,r,0.049999941,r,1.390000105,l,0.269999981,l,1.640000105,l,0.730000019,l,2.089999914,r,0.970000029
2014009,4,2,r,0.050000027,r,1.350000024,l,0.259999961,l,1.570000052,l,0.689999878,l,1.980000138,r,0.899999917
2014009,4,3,r,0.050000019,r,1.320000052,l,0.229999959,l,1.550000072,l,0.689999878,l,1.980000138,r,0.879999936
2014009,4,4,r,0.050000019,r,1.360000014,l,0.24999994,l,1.580000043,l,0.689999878,l,2.00999999,r,0.919999897
2014009,4,5,r,0.04999999,r,1.289999962,l,0.240000054,l,1.50999999,l,0.670000136,l,1.930000067,r,0.879999936
